Title,URL,Author and Date
Learn French with Innovative Language's Proven Language System - Level 2: Absolute Beginner French: Absolute Beginner French #31,/French-Innovative-Languages-Proven-Language/dp/B005GWI50E/ref=sr_1_33?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-33,"by Innovative Language Learning, FrenchPod101.com, et al."
"Comparative Grammar of Spanish, Portuguese, Italian and French: Learn & Compare 4 Languages Simultaneously",/Comparative-Grammar-Spanish-Portuguese-Italian-ebook/dp/B07F5P6H8T/ref=sr_1_34?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-34,by Mikhail Petrunin
Learn French with Innovative Language's Proven Language System - Level 3: Beginner French: Beginner French #29,/French-Innovative-Languages-Proven-Language/dp/B0057257NQ/ref=sr_1_35?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-35,"by Innovative Language Learning, FrenchPod101.com, et al."
"The Ultimate French Verb Review and Practice, 2nd Edition (UItimate Review & Reference Series)",/Ultimate-French-Practice-UItimate-Reference/dp/0071797238/ref=sr_1_36?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-36,"by David M. Stillman and Ronni L. Gordon  | Sep 11, 2012"
French Frequency Dictionary - Essential Vocabulary: 2500 Most Common French Words (French-English) (Volume 1),/French-Frequency-Dictionary-Vocabulary-French-English/dp/9492637081/ref=sr_1_37?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-37,"by MostUsedWords  | Apr 4, 2018"
"Cool Kids Speak French: Enjoyable worksheets, wordsearches and colouring pages in French for children of all ages (French Edition)",/Cool-Kids-Speak-French-wordsearches/dp/1512234958/ref=sr_1_38?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-38,"by Joanne Leyland  | Aug 6, 2015"
French Short Stories for Beginners and Intermediate Learners: Engaging Short Stories to Learn French and Build Your Vocabulary,/French-Stories-Beginners-Intermediate-Learners/dp/1073754081/ref=sr_1_39?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-39,"by Language Guru  | Jun 13, 2019"
The Everything Essential French Book: All You Need to Learn French in No Time,/Everything-Essential-French-Book-Learn/dp/1440576912/ref=sr_1_40?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-40,"by Bruce Sallee and David Hebert  | May 9, 2014"
Complete French Pack (Complete Language Pack),/Complete-French-Pack-Minutes-Language/dp/0756692393/ref=sr_1_41?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-41,"by DK Publishing  | Jun 18, 2012"
"Swearing Like a Parisian: Common French Expressions, Vocabulary, and Slang",/Swearing-Like-Parisian-Expressions-Vocabulary/dp/1798659751/ref=sr_1_42?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-42,"by Charlie Whitesides and Maïa PIERRE | May 8, 2019"
Rick Steves' French Phrase Book and Dictionary,/Rick-Steves-French-Phrase-Dictionary/dp/1598801864/ref=sr_1_43?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-43,"by Rick Steves  | Nov 11, 2008"
The Portrait of Dorian Gray - Le Portrait de Dorian Gray: A French to English Bilingual Book With French to English Dictionary (French Bilingual Books),/Portrait-Dorian-Gray-Bilingual-Dictionary/dp/9492637170/ref=sr_1_44?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-44,"by MostUsedWords , Oscar Wilde, et al. | Sep 6, 2018"
Learn French with Innovative Language's Proven Language System - Level 5: Advanced French #2,/French-Innovative-Languages-Proven-Language/dp/B0057QS5YU/ref=sr_1_45?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-45,"by Innovative Language Learning, FrenchPod101.com, et al."
The Berlitz Self-Teacher -- French: A Unique Home-Study Method Developed by the Famous Berlitz Schools of Language,/Berlitz-Self-Teacher-French-Home-Study-Developed/dp/039951323X/ref=sr_1_46?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-46,"by Berlitz Editors | Mar 6, 1987"
"French For Dummies, with CD",/French-Dummies-CD-Zoe-Erotopoulos/dp/1118004647/ref=sr_1_47?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-47,"by Zoe Erotopoulos, Dodi-Katrin Schmidt, et al. | Aug 30, 2011"
"Play and Learn French with Audio CD, 2nd Edition",/Play-Learn-French-Audio-2nd/dp/0071759247/ref=sr_1_48?keywords=Learn+french+book&qid=1564578507&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-48,"by Ana Lomba and Marcela Summerville  | Nov 1, 2011"
15-Minute French,/15-Minute-French-DK/dp/1465462945/ref=sr_1_49?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-49,"by DK | Jan 16, 2018"
Learn French: A Beginner's Phrasebook to Memorize & Learn Everyday Phrases in French,/Learn-French-Beginners-Phrasebook-Memorize/dp/1725100126/ref=sr_1_50?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-50,"by Oliver Robichaud | Aug 9, 2018"
Merriam-Webster's French-English Dictionary (English and French Edition),/Merriam-Websters-French-English-Dictionary-paperback-English/dp/0877799172/ref=sr_1_51?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-51,"by Merriam-Webster and Eileen M Haraty | Jan 1, 2000"
Rick Steves' French Phrase Book & Dictionary,/Rick-Steves-French-Phrase-Dictionary/dp/1612382029/ref=sr_1_52?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-52,"by Rick Steves  | Nov 26, 2013"
French English Bilingual Visual Dictionary (DK Bilingual Visual Dictionaries),/French-English-Bilingual-Dictionary-Dictionaries/dp/1465459286/ref=sr_1_53?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-53,"by DK  | Apr 18, 2017"
"Living Language Spanish, Complete Edition",/Living-Language-Spanish-Complete/dp/0307478599/ref=sr_1_54?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-54,"by Living Language | Aug 9, 2011"
Learn French with Stories for Beginners: 15 French Stories for Beginners with English Glossaries throughout the text. (Volume 1) (French and English Edition),/Learn-French-Stories-Beginners-Glossaries/dp/1516888863/ref=sr_1_55?keywords=Learn+french+book&qid=1564578510&refinements=p_n_feature_fifteen_browse-bin%3A5244976011&rnid=5244959011&s=books&sr=1-55,"by Frederic Bibard | Aug 14, 2015"
